Chord Name,Chord Type,Ft-E,Ft-A,Ft-D,Ft-G,Ft-B,Ft-e,Fg-E,Fg-A,Fg-D,Fg-G,Fg-B,Fg-e,Fn-E,Fn-A,Fn-D,Fn-G,Fn-B,Fn-e,Fi-E,Fi-A,Fi-D,Fi-G,Fi-B,Fi-e,Fret Positions,Finger Positions,Notes,Sorted Intervals,Grouping
E7#11,7#11,12,13,12,13,12,12,1,2,1,3,1,1,E,Bb,D,Ab,B,E,1,b5,b7,3,5,1,12-13-12-13-12-12,1-2-1-3-1-1,E Bb D Ab B E,1 3 b5 5 b7 ,
E7#11,7#11,x,2,2,3,3,4,x,1,1,2,3,4,,B,E,Bb,D,Ab,,5,1,b5,b7,3,x-2-2-3-3-4,x-1-1-2-3-4,B E Bb D Ab,1 3 b5 5 b7 ,
E7#11,7#11,x,7,8,7,9,7,x,1,2,1,3,1,,E,Bb,D,Ab,B,,1,b5,b7,3,5,x-7-8-7-9-7,x-1-2-1-3-1,E Bb D Ab B,1 3 b5 5 b7 ,
E7#11,7#11,x,x,6,7,5,6,x,x,2,4,1,3,,,Ab,D,E,Bb,,,3,b7,1,b5,x-x-6-7-5-6,x-x-2-4-1-3,Ab D E Bb,1 3 b5 b7 ,
E7#5,7#5,0,3,0,1,1,x,0,4,0,1,2,0,E,C,D,Ab,C,,1,b6,b7,3,b6,,0-3-0-1-1-x,0-4-0-1-2-0,E C D Ab C,1 3 b6 b7 ,
E7#9,7#9,0,2,0,1,3,3,0,2,0,1,3,4,E,B,D,Ab,D,G,1,5,b7,3,b7,b3,0-2-0-1-3-3,0-2-0-1-3-4,E B D Ab D G,1 b3 3 5 b7 ,
E7#9,7#9,3,x,x,4,3,4,1,x,x,3,2,4,G,,,B,D,Ab,b3,,,5,b7,3,3-x-x-4-3-4,1-x-x-3-2-4,G B D Ab,b3 3 5 b7 ,
E7#9,7#9,12,14,12,13,12,15,1,3,1,2,1,4,E,B,D,Ab,B,G,1,5,b7,3,5,b3,12-14-12-13-12-15,1-3-1-2-1-4,E B D Ab B G,1 b3 3 5 b7 ,
E7#9,7#9,x,7,6,7,8,x,x,2,1,3,4,x,,E,Ab,D,G,,,1,3,b7,b3,,x-7-6-7-8-x,x-2-1-3-4-x,E Ab D G,1 b3 3 b7 ,
E7#9,7#9,x,11,12,12,12,12,x,1,3,3,3,3,,Ab,D,G,B,E,,3,b7,b3,5,1,x-11-12-12-12-12,x-1-3-3-3-3,Ab D G B E,1 b3 3 5 b7 ,
E7b5,7b5,10,x,8,9,9,x,4,x,1,2,3,x,D,,Bb,E,Ab,,b7,,b5,1,3,,10-x-8-9-9-x,4-x-1-2-3-x,D Bb E Ab,1 3 b5 b7 ,
E7b5,7b5,x,1,0,1,3,0,0,1,0,2,4,0,,Bb,D,Ab,D,E,,b5,b7,3,b7,1,x-1-0-1-3-0,0-1-0-2-4-0,Bb D Ab D E,1 3 b5 b7 ,
E7b5,7b5,x,7,8,7,9,x,x,1,2,1,4,x,,E,Bb,D,Ab,,,1,b5,b7,3,,x-7-8-7-9-x,x-1-2-1-4-x,E Bb D Ab,1 3 b5 b7 ,
E7b5,7b5,x,13,14,13,15,x,x,1,2,1,3,x,,Bb,E,Ab,D,,,b5,1,3,b7,,x-13-14-13-15-x,x-1-2-1-3-x,Bb E Ab D,1 3 b5 b7 ,
E7b5,7b5,x,x,2,3,3,4,x,x,1,2,3,4,,,E,Bb,D,Ab,,,1,b5,b7,3,x-x-2-3-3-4,x-x-1-2-3-4,E Bb D Ab,1 3 b5 b7 ,
E7b5,7b5,x,x,6,7,5,6,x,x,2,4,1,3,,,Ab,D,E,Bb,,,3,b7,1,b5,x-x-6-7-5-6,x-x-2-4-1-3,Ab D E Bb,1 3 b5 b7 ,
E7b5(#9),7b5(#9),0,1,2,1,3,3,0,1,2,1,3,4,E,Bb,E,Ab,D,G,1,b5,1,3,b7,b3,0-1-2-1-3-3,0-1-2-1-3-4,E Bb E Ab D G,1 b3 3 b5 b7 ,
E7b5(#9),7b5(#9),3,x,x,3,3,4,1,x,x,2,3,4,G,,,Bb,D,Ab,b3,,,b5,b7,3,3-x-x-3-3-4,1-x-x-2-3-4,G Bb D Ab,b3 3 b5 b7 ,
E7b5(#9),7b5(#9),x,7,6,7,8,6,x,2,1,3,4,1,,E,Ab,D,G,Bb,,1,3,b7,b3,b5,x-7-6-7-8-6,x-2-1-3-4-1,E Ab D G Bb,1 b3 3 b5 b7 ,
E7b5(#9),7b5(#9),x,11,12,12,11,x,x,1,3,4,2,x,,Ab,D,G,Bb,,,3,b7,b3,b5,,x-11-12-12-11-x,x-1-3-4-2-x,Ab D G Bb,b3 3 b5 b7 ,
E7b5(#9),7b5(#9),x,13,14,13,15,15,x,1,2,1,3,4,,Bb,E,Ab,D,G,,b5,1,3,b7,b3,x-13-14-13-15-15,x-1-2-1-3-4,Bb E Ab D G,1 b3 3 b5 b7 ,
E7b9,7b9,0,2,0,1,0,1,0,3,0,1,0,2,E,B,D,Ab,B,F,1,5,b7,3,5,b2,0-2-0-1-0-1,0-3-0-1-0-2,E B D Ab B F,1 b2 3 5 b7 ,
E7b9,7b9,0,2,0,1,3,1,0,2,0,1,4,1,E,B,D,Ab,D,F,1,5,b7,3,b7,b2,0-2-0-1-3-1,0-2-0-1-4-1,E B D Ab D F,1 b2 3 5 b7 ,
E7b9,7b9,13,x,12,13,12,x,2,x,1,3,1,x,F,,D,Ab,B,,b2,,b7,3,5,,13-x-12-13-12-x,2-x-1-3-1-x,F D Ab B,b2 3 5 b7 ,
