Chord Name,Chord Type,Ft-E,Ft-A,Ft-D,Ft-G,Ft-B,Ft-e,Fg-E,Fg-A,Fg-D,Fg-G,Fg-B,Fg-e,Fn-E,Fn-A,Fn-D,Fn-G,Fn-B,Fn-e,Fi-E,Fi-A,Fi-D,Fi-G,Fi-B,Fi-e,Fret Positions,Finger Positions,Notes,Sorted Intervals,Grouping
A,,0,0,2,2,2,0,0,0,1,2,3,0,E,A,E,A,Db,E,5,1,5,1,3,5,0-0-2-2-2-0,0-0-1-2-3-0,E A E A Db E,1 3 5 ,
A,,0,0,2,2,2,0,0,0,2,1,3,0,E,A,E,A,Db,E,5,1,5,1,3,5,0-0-2-2-2-0,0-0-2-1-3-0,E A E A Db E,1 3 5 ,
A,,5,7,7,6,5,5,1,3,4,2,1,1,A,E,A,Db,E,A,1,5,1,3,5,1,5-7-7-6-5-5,1-3-4-2-1-1,A E A Db E A,1 3 5 ,
A,,x,12,11,9,10,x,x,4,3,1,2,x,,A,Db,E,A,,,1,3,5,1,,x-12-11-9-10-x,x-4-3-1-2-x,A Db E A,1 3 5 ,
A,,x,12,14,14,14,x,x,1,3,3,3,x,,A,E,A,Db,,,1,5,1,3,,x-12-14-14-14-x,x-1-3-3-3-x,A E A Db,1 3 5 ,
A,,x,x,7,9,10,9,x,x,1,2,4,3,,,A,E,A,Db,,,1,5,1,3,x-x-7-9-10-9,x-x-1-2-4-3,A E A Db,1 3 5 ,
A+,+,5,x,7,6,6,x,1,x,4,2,3,x,A,,A,Db,F,,1,,1,3,b6,,5-x-7-6-6-x,1-x-4-2-3-x,A A Db F,1 3 b6 ,
A+,+,x,0,3,2,2,1,x,0,4,2,3,1,,A,F,A,Db,F,,1,b6,1,3,b6,x-0-3-2-2-1,x-0-4-2-3-1,A F A Db F,1 3 b6 ,
A+,+,x,0,3,2,2,1,x,0,4,2,3,1,,A,F,A,Db,F,,1,b6,1,3,b6,x-0-3-2-2-1,x-0-4-2-3-1,A F A Db F,1 3 b6 ,
A+,+,x,12,11,10,10,x,x,3,2,1,1,x,,A,Db,F,A,,,1,3,b6,1,,x-12-11-10-10-x,x-3-2-1-1-x,A Db F A,1 3 b6 ,
A+,+,x,x,11,10,10,13,x,x,2,1,1,4,,,Db,F,A,F,,,3,b6,1,b6,x-x-11-10-10-13,x-x-2-1-1-4,Db F A F,1 3 b6 ,
A+,+,x,x,11,10,10,9,x,x,4,2,3,1,,,Db,F,A,Db,,,3,b6,1,3,x-x-11-10-10-9,x-x-4-2-3-1,Db F A Db,1 3 b6 ,
A+7,7,5,x,5,6,6,x,1,x,2,3,4,x,A,,G,Db,F,,1,,b7,3,b6,,5-x-5-6-6-x,1-x-2-3-4-x,A G Db F,1 3 b6 b7 ,
A+7,7,x,0,3,0,2,1,x,0,3,0,2,1,,A,F,G,Db,F,,1,b6,b7,3,b6,x-0-3-0-2-1,x-0-3-0-2-1,A F G Db F,1 3 b6 b7 ,
A+7,7,x,10,11,10,10,x,x,1,2,1,1,x,,G,Db,F,A,,,b7,3,b6,1,,x-10-11-10-10-x,x-1-2-1-1-x,G Db F A,1 3 b6 b7 ,
A+7,7,x,12,15,12,14,x,x,1,4,1,3,x,,A,F,G,Db,,,1,b6,b7,3,,x-12-15-12-14-x,x-1-4-1-3-x,A F G Db,1 3 b6 b7 ,
A+7,7,x,x,7,10,8,9,x,x,1,4,2,3,,,A,F,G,Db,,,1,b6,b7,3,x-x-7-10-8-9,x-x-1-4-2-3,A F G Db,1 3 b6 b7 ,
A+7#9,+7#9,9,x,x,10,8,8,2,x,x,3,1,1,Db,,,F,G,C,3,,,b6,b7,b3,9-x-x-10-8-8,2-x-x-3-1-1,Db F G C,b3 3 b6 b7 ,
A+7#9,+7#9,x,3,3,2,2,3,x,2,3,1,1,4,,C,F,A,Db,G,,b3,b6,1,3,b7,x-3-3-2-2-3,x-2-3-1-1-4,C F A Db G,1 b3 3 b6 b7 ,
A+7#9,+7#9,x,12,11,12,13,13,x,2,1,3,4,4,,A,Db,G,C,F,,1,3,b7,b3,b6,x-12-11-12-13-13,x-2-1-3-4-4,A Db G C F,1 b3 3 b6 b7 ,
A+7#9,+7#9,x,x,5,6,6,8,x,x,1,2,3,4,,,G,Db,F,C,,,b7,3,b6,b3,x-x-5-6-6-8,x-x-1-2-3-4,G Db F C,b3 3 b6 b7 ,
A+7#9,+7#9,x,x,10,10,8,9,x,x,3,4,1,2,,,C,F,G,Db,,,b3,b6,b7,3,x-x-10-10-8-9,x-x-3-4-1-2,C F G Db,b3 3 b6 b7 ,
A+7b9,+7b9,5,4,3,3,6,3,3,2,1,1,4,1,A,Db,F,Bb,F,G,1,3,b6,b2,b6,b7,5-4-3-3-6-3,3-2-1-1-4-1,A Db F Bb F G,1 b2 3 b6 b7 ,
A+7b9,+7b9,x,0,3,3,2,3,x,0,2,3,1,4,,A,F,Bb,Db,G,,1,b6,b2,3,b7,x-0-3-3-2-3,x-0-2-3-1-4,A F Bb Db G,1 b2 3 b6 b7 ,
A+7b9,+7b9,x,10,11,10,11,x,x,1,2,1,3,x,,G,Db,F,Bb,,,b7,3,b6,b2,,x-10-11-10-11-x,x-1-2-1-3-x,G Db F Bb,b2 3 b6 b7 ,
A+7b9,+7b9,x,12,11,12,11,13,x,2,1,3,1,4,,A,Db,G,Bb,F,,1,3,b7,b2,b6,x-12-11-12-11-13,x-2-1-3-1-4,A Db G Bb F,1 b2 3 b6 b7 ,
A+7b9,+7b9,x,x,8,10,8,9,x,x,1,3,1,2,,,Bb,F,G,Db,,,b2,b6,b7,3,x-x-8-10-8-9,x-x-1-3-1-2,Bb F G Db,b2 3 b6 b7 ,
A+9,9,x,2,3,2,2,3,x,1,2,1,1,3,,B,F,A,Db,G,,2,b6,1,3,b7,x-2-3-2-2-3,x-1-2-1-1-3,B F A Db G,1 2 3 b6 b7 ,
A+9,9,x,10,11,10,12,x,x,1,2,1,4,x,,G,Db,F,B,,,b7,3,b6,2,,x-10-11-10-12-x,x-1-2-1-4-x,G Db F B,2 3 b6 b7 ,
A+9,9,x,12,11,12,12,13,x,2,1,3,3,4,,A,Db,G,B,F,,1,3,b7,2,b6,x-12-11-12-12-13,x-2-1-3-3-4,A Db G B F,1 2 3 b6 b7 ,
A+9,9,x,x,5,6,6,7,x,x,1,2,2,3,,,G,Db,F,B,,,b7,3,b6,2,x-x-5-6-6-7,x-x-1-2-2-3,G Db F B,2 3 b6 b7 ,
A+9,9,x,x,9,10,8,9,x,x,2,4,1,3,,,B,F,G,Db,,,2,b6,b7,3,x-x-9-10-8-9,x-x-2-4-1-3,B F G Db,2 3 b6 b7 ,
A11,11,5,5,5,6,5,7,1,1,1,2,1,3,A,D,G,Db,E,B,1,4,b7,3,5,2,5-5-5-6-5-7,1-1-1-2-1-3,A D G Db E B,1 2 3 4 5 b7 ,
A11,11,12,12,12,12,12,9,4,4,4,4,4,1,E,A,D,G,B,Db,5,1,4,b7,2,3,12-12-12-12-12-9,4-4-4-4-4-1,E A D G B Db,1 2 3 4 5 b7 ,
A11,11,x,0,0,0,2,0,x,0,0,0,1,0,,A,D,G,Db,E,,1,4,b7,3,5,x-0-0-0-2-0,x-0-0-0-1-0,A D G Db E,1 3 4 5 b7 ,
A11,11,x,12,11,12,10,10,x,3,2,4,1,1,,A,Db,G,A,D,,1,3,b7,1,4,x-12-11-12-10-10,x-3-2-4-1-1,A Db G A D,1 3 4 b7 ,
A11,11,x,12,12,12,14,12,x,1,1,1,3,1,,A,D,G,Db,E,,1,4,b7,3,5,x-12-12-12-14-12,x-1-1-1-3-1,A D G Db E,1 3 4 5 b7 ,
A11,11,x,x,7,7,8,9,x,x,1,1,2,3,,,A,D,G,Db,,,1,4,b7,3,x-x-7-7-8-9,x-x-1-1-2-3,A D G Db,1 3 4 b7 ,
A13,13,3,2,2,2,2,2,2,1,1,1,1,1,G,B,E,A,Db,Gb,b7,2,5,1,3,6,3-2-2-2-2-2,2-1-1-1-1-1,G B E A Db Gb,1 2 3 5 6 b7 ,
A13,13,5,7,5,6,7,5,1,3,1,2,4,1,A,E,G,Db,Gb,A,1,5,b7,3,6,1,5-7-5-6-7-5,1-3-1-2-4-1,A E G Db Gb A,1 3 5 6 b7 ,
A13,13,x,0,2,0,2,2,x,0,1,0,2,3,,A,E,G,Db,Gb,,1,5,b7,3,6,x-0-2-0-2-2,x-0-1-0-2-3,A E G Db Gb,1 3 5 6 b7 ,
A13,13,x,0,2,0,2,3,0,0,1,0,2,3,,A,E,G,Db,G,,1,5,b7,3,b7,x-0-2-0-2-3,0-0-1-0-2-3,A E G Db G,1 3 5 b7 ,
A13,13,x,9,11,12,10,9,x,1,3,4,2,1,,Gb,Db,G,A,Db,,6,3,b7,1,3,x-9-11-12-10-9,x-1-3-4-2-1,Gb Db G A Db,1 3 6 b7 ,
A13,13,x,10,11,11,10,x,x,1,3,4,2,x,,G,Db,Gb,A,,,b7,3,6,1,,x-10-11-11-10-x,x-1-3-4-2-x,G Db Gb A,1 3 6 b7 ,
A13,13,x,12,11,12,12,14,x,2,1,3,3,4,,A,Db,G,B,Gb,,1,3,b7,2,6,x-12-11-12-12-14,x-2-1-3-3-4,A Db G B Gb,1 2 3 6 b7 ,
A13sus4,13sus4,5,7,5,7,7,5,1,2,1,3,4,1,A,E,G,D,Gb,A,1,5,b7,4,6,1,5-7-5-7-7-5,1-2-1-3-4-1,A E G D Gb A,1 4 5 6 b7 ,
A13sus4,13sus4,x,0,2,0,3,2,x,0,1,0,3,2,,A,E,G,D,Gb,,1,5,b7,4,6,x-0-2-0-3-2,x-0-1-0-3-2,A E G D Gb,1 4 5 6 b7 ,
A13sus4,13sus4,x,9,7,7,8,7,x,3,1,1,2,1,,Gb,A,D,G,B,,6,1,4,b7,2,x-9-7-7-8-7,x-3-1-1-2-1,Gb A D G B,1 2 4 6 b7 ,
A13sus4,13sus4,x,10,12,11,10,x,x,1,4,3,2,x,,G,D,Gb,A,,,b7,4,6,1,,x-10-12-11-10-x,x-1-4-3-2-x,G D Gb A,1 4 6 b7 ,
A13sus4,13sus4,x,12,12,12,12,14,x,1,1,1,1,3,,A,D,G,B,Gb,,1,4,b7,2,6,x-12-12-12-12-14,x-1-1-1-1-3,A D G B Gb,1 2 4 6 b7 ,
A5,5,5,7,7,x,x,x,1,3,4,x,x,x,A,E,A,,,,1,5,1,,,,5-7-7-x-x-x,1-3-4-x-x-x,A E A,1 5 ,
A5,5,x,0,2,2,5,5,x,0,1,1,4,4,,A,E,A,E,A,,1,5,1,5,1,x-0-2-2-5-5,x-0-1-1-4-4,A E A E A,1 5 ,
A5,5,x,0,2,2,x,x,x,0,1,1,x,x,,A,E,A,,,,1,5,1,,,x-0-2-2-x-x,x-0-1-1-x-x,A E A,1 5 ,
A5,5,x,12,14,14,x,x,x,1,3,4,x,x,,A,E,A,,,,1,5,1,,,x-12-14-14-x-x,x-1-3-4-x-x,A E A,1 5 ,
A5,5,x,x,7,9,10,x,x,x,1,3,4,x,,,A,E,A,,,,1,5,1,,x-x-7-9-10-x,x-x-1-3-4-x,A E A,1 5 ,
A6,6,5,x,4,6,5,x,2,x,1,4,3,x,A,,Gb,Db,E,,1,,6,3,5,,5-x-4-6-5-x,2-x-1-4-3-x,A Gb Db E,1 3 5 6 ,
A6,6,12,x,11,11,10,x,4,x,2,3,1,x,E,,Db,Gb,A,,5,,3,6,1,,12-x-11-11-10-x,4-x-2-3-1-x,E Db Gb A,1 3 5 6 ,
A6,6,x,0,2,2,2,2,0,0,1,1,1,1,,A,E,A,Db,Gb,,1,5,1,3,6,x-0-2-2-2-2,0-0-1-1-1-1,A E A Db Gb,1 3 5 6 ,
A6,6,x,0,2,2,2,2,x,0,2,2,2,2,,A,E,A,Db,Gb,,1,5,1,3,6,x-0-2-2-2-2,x-0-2-2-2-2,A E A Db Gb,1 3 5 6 ,
A6,6,x,12,14,14,14,14,x,1,3,3,3,3,,A,E,A,Db,Gb,,1,5,1,3,6,x-12-14-14-14-14,x-1-3-3-3-3,A E A Db Gb,1 3 5 6 ,
A6,6,x,x,7,9,7,9,x,x,1,3,1,4,,,A,E,Gb,Db,,,1,5,6,3,x-x-7-9-7-9,x-x-1-3-1-4,A E Gb Db,1 3 5 6 ,
A6/9,6-Sep,2,2,2,2,2,2,1,1,1,1,1,1,Gb,B,E,A,Db,Gb,6,2,5,1,3,6,2-2-2-2-2-2,1-1-1-1-1-1,Gb B E A Db Gb,1 2 3 5 6 ,
A6/9,6-Sep,5,4,4,4,5,5,0,1,1,1,3,4,A,Db,Gb,B,E,A,1,3,6,2,5,1,5-4-4-4-5-5,0-1-1-1-3-4,A Db Gb B E A,1 2 3 5 6 ,
A6/9,6-Sep,5,4,4,4,5,5,2,1,1,1,3,4,A,Db,Gb,B,E,A,1,3,6,2,5,1,5-4-4-4-5-5,2-1-1-1-3-4,A Db Gb B E A,1 2 3 5 6 ,
A6/9,6-Sep,12,12,11,11,12,x,3,3,1,1,2,0,E,A,Db,Gb,B,,5,1,3,6,2,,12-12-11-11-12-x,3-3-1-1-2-0,E A Db Gb B,1 2 3 5 6 ,
A6/9,6-Sep,x,0,4,4,2,0,x,0,3,4,1,0,,A,Gb,B,Db,E,,1,6,2,3,5,x-0-4-4-2-0,x-0-3-4-1-0,A Gb B Db E,1 2 3 5 6 ,
A6/9,6-Sep,x,7,7,6,7,7,x,2,3,1,4,4,,E,A,Db,Gb,B,,5,1,3,6,2,x-7-7-6-7-7,x-2-3-1-4-4,E A Db Gb B,1 2 3 5 6 ,
A6/9,6-Sep,x,9,9,9,10,9,x,1,1,1,2,1,,Gb,B,E,A,Db,,6,2,5,1,3,x-9-9-9-10-9,x-1-1-1-2-1,Gb B E A Db,1 2 3 5 6 ,
A6/9,6-Sep,x,12,11,11,12,12,x,2,1,1,3,4,,A,Db,Gb,B,E,,1,3,6,2,5,x-12-11-11-12-12,x-2-1-1-3-4,A Db Gb B E,1 2 3 5 6 ,
A7,7,5,7,5,6,5,5,1,3,1,2,1,1,A,E,G,Db,E,A,1,5,b7,3,5,1,5-7-5-6-5-5,1-3-1-2-1-1,A E G Db E A,1 3 5 b7 ,
A7,7,x,0,2,0,2,0,0,0,1,0,2,0,,A,E,G,Db,E,,1,5,b7,3,5,x-0-2-0-2-0,0-0-1-0-2-0,A E G Db E,1 3 5 b7 ,
A7,7,x,0,2,0,2,0,0,0,2,0,3,0,,A,E,G,Db,E,,1,5,b7,3,5,x-0-2-0-2-0,0-0-2-0-3-0,A E G Db E,1 3 5 b7 ,
A7,7,x,0,2,2,2,3,0,0,1,2,3,4,,A,E,A,Db,G,,1,5,1,3,b7,x-0-2-2-2-3,0-0-1-2-3-4,A E A Db G,1 3 5 b7 ,
A7,7,x,0,2,2,2,3,x,0,1,1,1,2,,A,E,A,Db,G,,1,5,1,3,b7,x-0-2-2-2-3,x-0-1-1-1-2,A E A Db G,1 3 5 b7 ,
A7,7,x,10,x,9,10,9,x,2,x,1,3,1,,G,,E,A,Db,,b7,,5,1,3,x-10-x-9-10-9,x-2-x-1-3-1,G E A Db,1 3 5 b7 ,
A7,7,x,12,14,12,14,12,x,1,3,1,4,1,,A,E,G,Db,E,,1,5,b7,3,5,x-12-14-12-14-12,x-1-3-1-4-1,A E G Db E,1 3 5 b7 ,
A7,7,x,x,7,9,8,9,x,x,1,3,2,4,,,A,E,G,Db,,,1,5,b7,3,x-x-7-9-8-9,x-x-1-3-2-4,A E G Db,1 3 5 b7 ,
A7#11,7#11,5,x,5,6,4,x,2,x,3,4,1,x,A,,G,Db,Eb,,1,,b7,3,b5,,5-x-5-6-4-x,2-x-3-4-1-x,A G Db Eb,1 3 b5 b7 ,
A7#11,7#11,11,x,x,12,10,9,3,x,x,4,2,1,Eb,,,G,A,Db,b5,,,b7,1,3,11-x-x-12-10-9,3-x-x-4-2-1,Eb G A Db,1 3 b5 b7 ,
A7#11,7#11,x,0,1,0,2,0,x,0,1,0,3,0,,A,Eb,G,Db,E,,1,b5,b7,3,5,x-0-1-0-2-0,x-0-1-0-3-0,A Eb G Db E,1 3 b5 5 b7 ,
A7#11,7#11,x,12,13,12,14,12,x,1,2,1,3,1,,A,Eb,G,Db,E,,1,b5,b7,3,5,x-12-13-12-14-12,x-1-2-1-3-1,A Eb G Db E,1 3 b5 5 b7 ,
A7#11,7#11,x,x,7,8,8,9,x,x,1,2,2,3,,,A,Eb,G,Db,,,1,b5,b7,3,x-x-7-8-8-9,x-x-1-2-2-3,A Eb G Db,1 3 b5 b7 ,
A7#5,7#5,5,x,5,6,6,x,0,0,2,3,4,0,A,,G,Db,F,,1,,b7,3,b6,,5-x-5-6-6-x,0-0-2-3-4-0,A G Db F,1 3 b6 b7 ,
A7#9,7#9,8,x,x,9,8,9,1,x,x,3,2,4,C,,,E,G,Db,b3,,,5,b7,3,8-x-x-9-8-9,1-x-x-3-2-4,C E G Db,b3 3 5 b7 ,
A7#9,7#9,x,3,2,2,2,3,x,2,1,1,1,3,,C,E,A,Db,G,,b3,5,1,3,b7,x-3-2-2-2-3,x-2-1-1-1-3,C E A Db G,1 b3 3 5 b7 ,
A7#9,7#9,x,4,5,5,5,5,x,1,3,3,3,3,,Db,G,C,E,A,,3,b7,b3,5,1,x-4-5-5-5-5,x-1-3-3-3-3,Db G C E A,1 b3 3 5 b7 ,
A7#9,7#9,x,12,11,12,13,x,x,2,1,3,4,x,,A,Db,G,C,,,1,3,b7,b3,,x-12-11-12-13-x,x-2-1-3-4-x,A Db G C,1 b3 3 b7 ,
A7#9,7#9,x,x,7,6,8,8,x,x,2,1,3,4,,,A,Db,G,C,,,1,3,b7,b3,x-x-7-6-8-8,x-x-2-1-3-4,A Db G C,1 b3 3 b7 ,
A7b5,7b5,5,x,5,6,4,x,0,0,3,4,1,0,A,,G,Db,Eb,,1,,b7,3,b5,,5-x-5-6-4-x,0-0-3-4-1-0,A G Db Eb,1 3 b5 b7 ,
A7b5,7b5,5,x,5,6,4,x,2,x,3,4,1,x,A,,G,Db,Eb,,1,,b7,3,b5,,5-x-5-6-4-x,2-x-3-4-1-x,A G Db Eb,1 3 b5 b7 ,
A7b5,7b5,11,x,x,12,10,9,3,x,x,4,2,1,Eb,,,G,A,Db,b5,,,b7,1,3,11-x-x-12-10-9,3-x-x-4-2-1,Eb G A Db,1 3 b5 b7 ,
A7b5,7b5,x,0,1,2,2,3,x,0,1,2,2,4,,A,Eb,A,Db,G,,1,b5,1,3,b7,x-0-1-2-2-3,x-0-1-2-2-4,A Eb A Db G,1 3 b5 b7 ,
A7b5,7b5,x,12,13,12,14,x,x,1,2,1,4,x,,A,Eb,G,Db,,,1,b5,b7,3,,x-12-13-12-14-x,x-1-2-1-4-x,A Eb G Db,1 3 b5 b7 ,
A7b5,7b5,x,x,7,8,8,9,x,x,1,2,3,4,,,A,Eb,G,Db,,,1,b5,b7,3,x-x-7-8-8-9,x-x-1-2-3-4,A Eb G Db,1 3 b5 b7 ,
A7b5(#9),7b5(#9),5,6,5,6,8,8,1,2,1,3,4,4,A,Eb,G,Db,G,C,1,b5,b7,3,b7,b3,5-6-5-6-8-8,1-2-1-3-4-4,A Eb G Db G C,1 b3 3 b5 b7 ,
A7b5(#9),7b5(#9),x,3,1,0,2,3,x,3,1,0,2,4,,C,Eb,G,Db,G,,b3,b5,b7,3,b7,x-3-1-0-2-3,x-3-1-0-2-4,C Eb G Db G,b3 3 b5 b7 ,
A7b5(#9),7b5(#9),x,12,11,12,13,11,x,2,1,3,4,1,,A,Db,G,C,Eb,,1,3,b7,b3,b5,x-12-11-12-13-11,x-2-1-3-4-1,A Db G C Eb,1 b3 3 b5 b7 ,
A7b5(#9),7b5(#9),x,15,13,12,14,x,x,4,2,1,3,x,,C,Eb,G,Db,,,b3,b5,b7,3,,x-15-13-12-14-x,x-4-2-1-3-x,C Eb G Db,b3 3 b5 b7 ,
A7b5(#9),7b5(#9),x,x,10,8,8,9,x,x,3,1,1,2,,,C,Eb,G,Db,,,b3,b5,b7,3,x-x-10-8-8-9,x-x-3-1-1-2,C Eb G Db,b3 3 b5 b7 ,
A7b9,7b9,5,x,5,3,2,x,3,x,4,2,1,x,A,,G,Bb,Db,,1,,b7,b2,3,,5-x-5-3-2-x,3-x-4-2-1-x,A G Bb Db,1 b2 3 b7 ,
A7b9,7b9,9,x,8,9,8,x,2,x,1,3,1,x,Db,,Bb,E,G,,3,,b2,5,b7,,9-x-8-9-8-x,2-x-1-3-1-x,Db Bb E G,b2 3 5 b7 ,
A7b9,7b9,x,0,2,3,2,3,0,0,1,3,2,4,,A,E,Bb,Db,G,,1,5,b2,3,b7,x-0-2-3-2-3,0-0-1-3-2-4,A E Bb Db G,1 b2 3 5 b7 ,
A7b9,7b9,x,0,2,3,2,3,x,0,1,2,1,3,,A,E,Bb,Db,G,,1,5,b2,3,b7,x-0-2-3-2-3,x-0-1-2-1-3,A E Bb Db G,1 b2 3 5 b7 ,
A7b9,7b9,x,12,11,12,11,12,x,2,1,3,1,4,,A,Db,G,Bb,E,,1,3,b7,b2,5,x-12-11-12-11-12,x-2-1-3-1-4,A Db G Bb E,1 b2 3 5 b7 ,
A7b9,7b9,x,x,7,6,8,6,x,x,2,1,4,1,,,A,Db,G,Bb,,,1,3,b7,b2,x-x-7-6-8-6,x-x-2-1-4-1,A Db G Bb,1 b2 3 b7 ,
A7sus4,7sus4,5,7,5,7,5,5,1,3,1,4,1,1,A,E,G,D,E,A,1,5,b7,4,5,1,5-7-5-7-5-5,1-3-1-4-1-1,A E G D E A,1 4 5 b7 ,
A7sus4,7sus4,x,0,2,0,3,0,x,0,1,0,3,0,,A,E,G,D,E,,1,5,b7,4,5,x-0-2-0-3-0,x-0-1-0-3-0,A E G D E,1 4 5 b7 ,
A7sus4,7sus4,x,12,14,12,15,12,x,1,3,1,4,1,,A,E,G,D,E,,1,5,b7,4,5,x-12-14-12-15-12,x-1-3-1-4-1,A E G D E,1 4 5 b7 ,
A7sus4,7sus4,x,x,7,9,8,10,x,x,1,3,2,4,,,A,E,G,D,,,1,5,b7,4,x-x-7-9-8-10,x-x-1-3-2-4,A E G D,1 4 5 b7 ,
A7sus4,7sus4,x,x,12,12,10,12,x,x,2,3,1,4,,,D,G,A,E,,,4,b7,1,5,x-x-12-12-10-12,x-x-2-3-1-4,D G A E,1 4 5 b7 ,
A9,9,3,2,2,2,2,x,2,1,1,1,1,0,G,B,E,A,Db,,b7,2,5,1,3,,3-2-2-2-2-x,2-1-1-1-1-0,G B E A Db,1 2 3 5 b7 ,
A9,9,5,7,5,6,5,7,1,3,1,2,1,4,A,E,G,Db,E,B,1,5,b7,3,5,2,5-7-5-6-5-7,1-3-1-2-1-4,A E G Db E B,1 2 3 5 b7 ,
A9,9,5,x,5,4,2,x,3,x,4,2,1,x,A,,G,B,Db,,1,,b7,2,3,,5-x-5-4-2-x,3-x-4-2-1-x,A G B Db,1 2 3 b7 ,
A9,9,9,10,9,9,10,9,1,3,1,1,2,1,Db,G,B,E,A,Db,3,b7,2,5,1,3,9-10-9-9-10-9,1-3-1-1-2-1,Db G B E A Db,1 2 3 5 b7 ,
A9,9,x,0,2,4,2,3,0,0,1,4,2,3,,A,E,B,Db,G,,1,5,2,3,b7,x-0-2-4-2-3,0-0-1-4-2-3,A E B Db G,1 2 3 5 b7 ,
A9,9,x,0,2,4,2,3,x,0,1,3,1,2,,A,E,B,Db,G,,1,5,2,3,b7,x-0-2-4-2-3,x-0-1-3-1-2,A E B Db G,1 2 3 5 b7 ,
A9,9,x,0,5,6,0,5,0,0,1,3,0,2,,A,G,Db,B,A,,1,b7,3,2,1,x-0-5-6-0-5,0-0-1-3-0-2,A G Db B A,1 2 3 b7 ,
A9,9,x,12,11,12,12,12,x,2,1,3,3,3,,A,Db,G,B,E,,1,3,b7,2,5,x-12-11-12-12-12,x-2-1-3-3-3,A Db G B E,1 2 3 5 b7 ,
A9,9,x,12,11,12,12,x,0,2,1,3,4,0,,A,Db,G,B,,,1,3,b7,2,,x-12-11-12-12-x,0-2-1-3-4-0,A Db G B,1 2 3 b7 ,
A9,9,x,x,7,6,8,7,x,x,2,1,4,3,,,A,Db,G,B,,,1,3,b7,2,x-x-7-6-8-7,x-x-2-1-4-3,A Db G B,1 2 3 b7 ,
A9b5,9b5,5,4,5,4,4,5,2,1,3,1,1,4,A,Db,G,B,Eb,A,1,3,b7,2,b5,1,5-4-5-4-4-5,2-1-3-1-1-4,A Db G B Eb A,1 2 3 b5 b7 ,
A9b5,9b5,9,x,9,8,8,x,2,x,3,1,1,x,Db,,B,Eb,G,,3,,2,b5,b7,,9-x-9-8-8-x,2-x-3-1-1-x,Db B Eb G,2 3 b5 b7 ,
A9b5,9b5,x,0,1,4,2,3,x,0,1,4,2,3,,A,Eb,B,Db,G,,1,b5,2,3,b7,x-0-1-4-2-3,x-0-1-4-2-3,A Eb B Db G,1 2 3 b5 b7 ,
A9b5,9b5,x,6,7,6,8,7,x,1,2,1,4,3,,Eb,A,Db,G,B,,b5,1,3,b7,2,x-6-7-6-8-7,x-1-2-1-4-3,Eb A Db G B,1 2 3 b5 b7 ,
A9b5,9b5,x,12,11,12,12,11,x,2,1,3,4,1,,A,Db,G,B,Eb,,1,3,b7,2,b5,x-12-11-12-12-11,x-2-1-3-4-1,A Db G B Eb,1 2 3 b5 b7 ,
A9sus4,9sus4,5,7,5,7,5,7,1,2,1,3,1,4,A,E,G,D,E,B,1,5,b7,4,5,2,5-7-5-7-5-7,1-2-1-3-1-4,A E G D E B,1 2 4 5 b7 ,
A9sus4,9sus4,5,x,5,4,3,x,3,x,4,2,1,x,A,,G,B,D,,1,,b7,2,4,,5-x-5-4-3-x,3-x-4-2-1-x,A G B D,1 2 4 b7 ,
A9sus4,9sus4,x,0,2,4,3,3,x,0,1,4,2,3,,A,E,B,D,G,,1,5,2,4,b7,x-0-2-4-3-3,x-0-1-4-2-3,A E B D G,1 2 4 5 b7 ,
A9sus4,9sus4,x,12,12,12,12,12,x,1,1,1,1,1,,A,D,G,B,E,,1,4,b7,2,5,x-12-12-12-12-12,x-1-1-1-1-1,A D G B E,1 2 4 5 b7 ,
A9sus4,9sus4,x,x,7,7,8,7,x,x,1,1,2,1,,,A,D,G,B,,,1,4,b7,2,x-x-7-7-8-7,x-x-1-1-2-1,A D G B,1 2 4 b7 ,
Aadd9,add9,0,0,2,4,2,0,0,0,1,4,2,0,E,A,E,B,Db,E,5,1,5,2,3,5,0-0-2-4-2-0,0-0-1-4-2-0,E A E B Db E,1 2 3 5 ,
Aadd9,add9,x,0,2,2,0,0,0,0,2,3,0,0,,A,E,A,B,E,,1,5,1,2,5,x-0-2-2-0-0,0-0-2-3-0-0,A E A B E,1 2 5 ,
Aadd9,add9,x,0,2,4,2,0,x,0,1,4,2,0,,A,E,B,Db,E,,1,5,2,3,5,x-0-2-4-2-0,x-0-1-4-2-0,A E B Db E,1 2 3 5 ,
Aadd9,add9,x,12,11,9,12,x,x,3,2,1,4,x,,A,Db,E,B,,,1,3,5,2,,x-12-11-9-12-x,x-3-2-1-4-x,A Db E B,1 2 3 5 ,
Aadd9,add9,x,14,14,14,14,x,x,1,1,1,1,x,,B,E,A,Db,,,2,5,1,3,,x-14-14-14-14-x,x-1-1-1-1-x,B E A Db,1 2 3 5 ,
Aadd9,add9,x,x,7,6,5,7,x,x,3,2,1,4,,,A,Db,E,B,,,1,3,5,2,x-x-7-6-5-7,x-x-3-2-1-4,A Db E B,1 2 3 5 ,
Aadd9,add9,x,x,9,9,10,9,x,x,1,1,2,1,,,B,E,A,Db,,,2,5,1,3,x-x-9-9-10-9,x-x-1-1-2-1,B E A Db,1 2 3 5 ,
